Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Number_of_Layers,Film_Thickness_nm
3514.2,83.6,11.29,52.01,6.96,58.7,170.0,73.6,3,64.07
2467.2,58.0,19.19,36.3,7.35,18.5,199.9,17.7,5,138.97
4247.1,112.4,2.9,52.89,1.08,93.4,212.7,98.4,7,8.08
3651.2,96.5,23.79,24.01,11.91,60.9,314.2,111.5,2,57.97
1905.6,64.7,35.34,40.46,14.95,34.4,423.3,15.9,10,461.37
4245.2,95.0,20.18,43.3,8.4,90.9,288.4,23.3,8,148.17
4121.4,117.5,20.63,55.63,6.44,20.9,179.5,87.2,2,44.95
2243.7,66.1,15.33,23.74,6.5,18.8,269.2,76.5,4,74.93
1797.5,84.3,9.4,33.54,2.35,58.2,333.9,52.1,8,36.79
3571.2,111.9,17.02,46.37,4.73,66.2,596.5,69.3,6,24.95
1128.9,44.9,18.58,59.2,8.03,56.0,326.8,87.4,6,170.47
1399.6,108.7,18.06,53.93,7.05,93.6,190.1,65.5,1,35.42
533.1,29.8,27.04,53.86,8.63,33.7,411.5,25.4,5,209.89
4041.2,84.8,32.33,40.69,12.89,99.1,563.8,19.8,7,136.75
3491.8,98.3,12.67,42.57,4.15,11.7,504.0,58.3,8,33.32
3673.2,81.5,3.97,54.34,1.39,20.7,526.3,111.5,5,3.5
4013.3,69.6,7.59,54.79,1.54,26.7,567.7,71.4,6,5.11
2565.1,81.7,8.5,52.09,2.88,17.2,436.4,49.4,3,9.61
3059.3,35.2,17.17,52.74,8.99,49.4,597.7,110.0,8,60.81
1129.1,41.6,29.26,55.19,12.31,87.9,165.0,52.7,7,680.27
1015.4,47.0,29.31,24.55,13.42,83.9,525.7,66.0,8,281.62
3507.8,79.8,25.09,31.71,9.89,77.0,535.7,22.8,7,91.78
2619.9,64.2,14.53,59.04,6.64,10.7,562.5,91.1,10,66.74
3043.6,44.4,10.71,41.79,3.16,87.9,365.2,87.0,9,41.37
3942.5,108.3,17.36,27.06,6.62,45.7,504.5,97.4,9,60.99
3356.2,57.4,11.26,40.12,5.65,75.8,237.8,45.8,4,53.5
2991.1,64.6,30.84,45.83,13.18,75.4,421.4,58.0,1,25.59
3016.4,61.0,21.83,53.13,7.81,26.0,311.4,28.5,1,20.37
1867.8,38.2,15.03,52.49,4.17,56.4,418.3,116.1,8,64.76
638.7,93.2,10.89,21.97,5.04,93.4,454.0,19.5,9,118.89
2465.2,64.8,5.4,38.14,2.91,33.7,306.2,81.4,7,29.21
1465.6,21.6,39.73,20.82,13.86,74.4,247.3,87.6,8,743.12
2338.4,116.4,5.89,55.53,1.7,96.2,294.8,27.4,1,3.0
4340.3,101.6,4.99,26.96,1.18,42.5,448.8,50.2,6,5.02
1552.7,92.4,7.97,44.99,3.56,44.9,454.6,14.7,7,41.56
762.4,106.9,31.06,42.82,12.35,50.7,483.6,71.2,2,83.69
1766.2,110.7,26.3,45.02,8.33,82.8,206.9,119.4,8,332.35
1821.2,53.7,25.22,42.54,9.76,49.5,518.3,57.3,4,72.72
3478.6,81.1,19.01,48.62,6.01,53.8,459.7,118.9,2,17.07
3006.6,80.9,6.6,45.04,1.96,30.0,163.7,23.9,7,26.97
4027.5,46.7,28.79,23.61,12.99,99.0,301.0,53.2,5,165.55
3489.4,42.2,8.43,34.67,3.69,90.3,360.0,109.2,6,27.2
2328.7,31.4,2.01,41.86,1.46,64.0,312.3,106.4,6,8.07
4163.1,85.9,23.39,33.01,9.02,96.5,202.8,45.6,7,206.76
1251.4,98.1,10.65,50.41,2.17,71.8,243.3,84.6,5,37.33
602.2,96.1,7.87,32.72,2.34,96.3,161.1,107.5,9,126.22
905.2,51.6,29.15,53.15,12.21,24.5,191.9,94.4,9,864.64
3750.6,40.5,17.76,25.87,7.88,30.3,269.8,79.1,5,94.05
2578.4,65.4,13.14,50.78,4.38,89.7,519.0,26.8,2,10.2
1225.7,74.7,11.81,27.34,5.88,47.8,387.0,18.0,3,42.32
2754.7,111.9,24.38,41.12,11.21,43.4,341.0,77.6,8,225.38
1185.4,107.5,9.14,32.82,1.93,77.9,448.0,65.0,3,10.31
3633.4,111.6,7.22,45.49,2.63,66.7,393.7,36.2,8,22.24
2507.7,105.0,23.25,28.51,9.63,41.0,209.2,42.2,7,270.06
2214.6,116.5,23.34,51.82,9.5,45.8,250.2,53.1,5,198.07
1856.8,66.5,37.79,42.94,14.61,46.8,250.1,64.5,2,159.96
3336.3,24.7,16.86,58.29,6.24,21.4,420.0,52.9,6,56.56
2128.2,28.4,4.17,48.47,1.91,30.7,357.7,52.6,7,15.14
894.4,59.0,19.49,44.3,8.53,58.4,324.4,22.7,2,68.53
1031.0,45.8,24.27,53.17,9.94,80.4,400.5,105.2,9,310.34
4828.5,37.0,9.7,28.79,2.95,47.7,586.6,77.0,2,3.33
4588.6,115.3,22.0,45.31,8.74,44.5,291.4,26.1,5,87.17
3648.7,39.5,10.29,35.62,3.77,68.5,384.1,56.6,6,27.08
1696.4,115.9,31.64,49.75,12.83,24.2,366.2,55.8,8,349.89
4861.3,96.1,31.08,20.98,12.69,44.3,472.5,76.1,3,51.68
4004.4,84.1,15.79,37.11,7.01,28.7,478.6,77.0,4,31.06
3726.0,87.6,38.75,46.07,14.53,68.6,478.1,81.0,9,236.57
2522.1,53.1,34.4,38.43,14.72,20.1,240.7,86.8,4,268.1
1725.1,84.6,8.85,29.52,2.81,50.3,352.1,21.4,7,38.86
933.8,38.7,9.96,38.57,6.15,63.7,515.0,43.5,4,40.78
4561.7,113.8,22.98,53.99,9.4,85.0,321.7,11.9,1,19.23
2551.0,50.2,3.73,28.27,2.19,75.2,592.9,60.0,6,6.0
1410.6,45.5,13.68,34.69,6.36,94.9,314.2,57.2,4,77.07
1876.8,91.1,19.98,59.61,4.66,71.2,374.0,90.8,3,36.0
3106.5,85.6,35.7,56.51,14.33,41.4,363.5,28.4,9,337.83
1295.5,65.1,21.23,21.36,6.76,30.9,345.1,79.5,8,188.6
4354.8,83.2,31.42,41.21,11.68,15.1,530.5,43.7,3,47.0
3913.3,35.9,19.7,22.62,6.41,35.0,219.9,52.0,6,114.08
3737.6,87.3,7.95,56.96,2.85,22.3,405.4,89.1,8,23.84
2444.4,47.1,36.91,37.66,13.08,43.2,428.4,17.9,1,34.57
3322.9,47.3,6.85,36.74,1.01,73.2,533.0,47.7,1,3.0
3128.4,36.2,6.23,30.92,1.78,72.3,424.1,53.0,6,10.46
3424.3,53.2,16.82,42.75,6.1,38.6,582.0,88.7,10,51.01
880.0,53.1,26.01,25.8,10.62,55.8,542.5,31.9,10,276.19
2371.1,65.4,15.46,51.96,5.78,29.5,306.9,114.2,5,70.82
687.3,39.0,6.3,39.65,1.93,55.3,537.0,119.8,8,19.37
2723.0,39.3,15.68,42.66,5.45,55.9,581.3,100.1,5,25.66
1984.4,74.2,17.41,53.63,4.43,37.1,265.7,43.0,10,154.49
1150.4,32.9,1.0,27.41,1.08,33.4,424.6,83.0,6,4.28
965.3,88.9,24.95,27.01,8.49,98.2,276.8,19.1,9,380.85
3144.4,114.4,6.95,36.83,2.63,58.3,442.3,105.8,4,10.12
1267.7,62.7,17.37,51.45,5.02,60.6,192.1,66.8,10,270.74
4663.0,110.1,23.95,22.34,9.98,10.7,480.4,29.4,8,95.47
3114.8,29.8,28.89,51.81,11.15,26.4,338.9,46.0,8,236.16
2060.9,24.3,12.31,40.03,4.69,42.1,414.3,98.1,1,7.67
3159.1,92.1,9.71,42.47,5.61,96.9,161.6,105.7,9,153.82
602.6,96.1,17.47,42.58,4.46,25.8,462.9,67.2,2,27.07
4813.5,104.3,32.28,22.25,14.4,37.3,373.2,62.8,10,303.34
2670.4,25.7,10.69,29.99,3.67,99.1,431.4,92.6,2,9.44
4022.3,97.7,7.04,50.21,3.56,53.3,292.1,100.9,9,41.05
872.3,57.7,14.62,36.49,7.23,38.7,215.6,94.1,7,273.1
2690.0,50.3,9.78,42.42,3.65,67.1,345.9,52.3,4,25.93
2708.2,37.3,7.57,57.79,3.19,54.7,574.8,80.6,9,19.27
4720.2,119.6,3.88,21.85,2.34,96.2,252.5,104.3,4,10.62
3072.8,26.4,24.81,37.99,9.96,17.5,454.1,26.7,1,19.08
2630.7,102.7,19.56,34.45,9.57,81.1,172.4,52.7,1,38.93
1701.4,83.9,25.61,24.26,10.1,35.1,473.1,16.2,9,211.9
1992.1,93.5,28.82,58.03,11.83,82.6,257.3,55.0,4,195.82
2843.0,91.2,7.37,58.46,5.57,86.3,353.2,95.0,9,73.09
2475.1,105.8,32.3,32.46,13.86,86.4,315.5,31.7,1,47.64
597.3,38.4,29.31,57.87,11.26,88.0,200.8,69.6,1,101.68
4218.3,20.1,27.02,21.41,12.27,74.6,305.5,14.0,10,308.06
4532.7,79.9,29.05,59.24,11.09,22.8,307.6,108.7,2,50.57
1131.1,55.4,17.14,53.44,6.02,14.7,384.9,100.2,7,119.06
2993.2,32.4,10.36,28.57,4.96,40.7,587.6,67.7,4,14.72
988.6,38.6,17.87,43.98,6.92,54.6,361.5,87.6,6,163.08
3525.1,53.2,9.9,51.93,2.36,37.2,561.5,21.4,2,4.25
1765.6,27.0,16.2,32.77,7.32,76.8,357.7,103.0,3,53.96
3467.4,25.7,5.07,34.15,1.6,75.0,198.4,88.7,8,22.32
3771.5,111.6,7.88,45.16,1.06,97.5,253.6,23.2,6,10.7
3958.9,51.2,31.72,25.88,14.04,46.1,333.4,117.9,6,231.02
984.8,118.2,27.87,24.73,10.65,80.7,296.4,12.5,10,543.86
4622.1,116.4,19.15,29.99,8.87,76.7,539.6,79.1,5,40.56
1536.0,34.3,14.8,49.65,5.78,99.0,455.4,28.9,9,99.09
668.4,91.5,24.01,34.66,8.99,79.6,410.2,89.1,8,309.78
2996.8,80.1,25.8,40.29,13.48,35.5,371.1,17.7,5,168.4
2169.2,89.1,23.7,27.82,10.13,11.4,328.8,18.9,3,81.87
4234.1,29.6,24.99,27.76,9.43,97.1,425.5,61.3,4,60.07
4137.1,38.9,19.8,46.02,7.44,74.4,206.1,119.3,9,193.76
1927.1,27.7,13.86,24.34,5.84,83.1,223.1,40.4,4,80.11
4788.0,80.4,23.48,46.71,10.78,81.4,286.4,77.4,7,165.94
1809.1,118.7,37.77,36.03,14.73,76.2,227.0,67.0,2,162.04
2817.8,87.2,17.01,46.85,6.95,77.6,454.7,102.6,4,42.99
1651.8,91.1,18.57,35.27,6.49,93.7,161.1,41.7,10,335.39
4712.2,118.5,19.23,53.84,6.99,92.3,222.1,71.0,6,110.99
1240.7,87.8,16.66,22.22,6.96,44.1,556.2,114.6,9,98.39
702.1,24.0,39.42,55.73,14.87,12.8,598.9,46.6,3,143.63
2457.9,106.7,25.28,30.75,10.89,13.5,369.4,58.3,8,219.39
4965.7,56.5,19.44,21.7,6.03,50.2,372.9,107.8,10,92.23
4512.5,20.4,20.23,42.5,6.2,85.1,498.0,46.6,10,70.16
3868.7,70.7,21.32,28.97,7.03,86.3,166.3,51.9,5,135.35
4508.6,113.7,4.94,38.37,1.51,46.4,342.2,43.5,7,9.67
4520.5,45.7,28.94,52.09,8.39,37.1,194.9,99.0,9,274.45
2834.9,69.2,30.88,51.66,12.36,55.6,330.4,112.3,9,342.0
1921.7,37.4,26.29,44.02,10.25,84.9,592.7,79.4,10,158.24
3974.1,25.8,10.62,59.11,3.78,67.3,489.1,78.6,1,3.33
3477.5,28.1,24.35,38.55,11.19,22.6,593.3,52.9,6,71.24
2181.5,92.7,31.35,21.58,11.07,42.6,485.7,11.4,8,236.33
925.1,106.4,11.04,52.78,4.68,60.0,423.6,29.1,8,95.97
3860.6,34.3,27.12,28.85,9.72,58.4,489.4,26.2,2,32.36
1681.1,48.8,27.45,27.05,9.55,84.8,446.6,22.7,6,150.46
4715.7,39.5,33.15,22.8,12.76,93.9,358.8,81.9,2,54.38
1584.4,22.7,6.61,33.12,2.91,19.0,281.6,25.0,1,5.57
1052.4,75.3,9.55,33.05,3.73,30.2,384.1,19.4,2,18.43
4240.0,90.0,11.92,32.11,7.8,45.3,266.3,52.1,10,146.92
1189.8,84.8,5.37,43.73,1.62,36.7,369.0,37.4,3,7.57
1306.7,58.8,20.09,50.06,6.82,46.7,215.8,26.0,5,178.33
3197.2,75.5,28.97,57.51,12.04,13.7,404.4,26.1,3,78.72
4435.5,29.4,7.32,23.76,3.08,15.9,260.4,38.2,9,39.63
1384.0,35.4,18.22,26.02,7.44,85.5,282.1,69.1,9,240.55
1896.5,113.2,39.82,43.59,14.86,19.2,374.6,93.4,7,383.3
3998.3,96.2,20.43,23.93,8.08,84.2,223.1,103.8,9,223.09
4873.2,112.3,25.92,34.83,7.98,37.6,583.1,92.7,2,14.26
2753.3,111.7,20.58,44.98,8.82,37.8,351.1,79.1,10,200.89
1147.5,84.9,10.94,51.22,3.6,19.1,308.5,109.8,5,62.04
562.7,112.8,7.74,28.7,3.06,11.2,163.1,67.2,5,85.33
1533.5,61.7,32.33,46.72,10.48,42.0,529.5,79.7,2,43.58
1093.2,20.4,17.58,45.83,6.54,85.2,431.6,55.3,9,160.95
3549.5,26.3,20.02,54.38,5.06,92.8,337.4,46.0,2,20.26
1048.2,30.9,4.05,32.55,1.44,15.5,260.5,46.5,9,27.32
2778.5,29.5,36.13,50.0,12.84,12.8,485.3,26.3,8,234.39
3624.2,55.2,5.69,50.08,1.45,24.3,575.5,97.6,8,5.96
3115.0,90.1,30.96,29.57,11.5,79.0,321.4,16.1,1,34.07
1399.0,99.1,12.94,44.85,6.35,28.4,210.7,84.2,8,214.16
4118.6,79.0,24.62,47.01,9.38,30.8,199.1,105.1,10,318.62
3719.3,34.6,9.07,30.98,4.47,90.0,152.9,64.7,4,45.54
3825.4,94.8,10.08,38.07,3.18,88.7,484.8,17.7,5,15.96
1089.8,55.5,16.92,37.43,8.47,70.3,591.6,57.1,2,28.02
1056.9,21.3,26.42,50.94,10.74,24.8,596.8,47.8,5,112.47
4674.0,48.1,13.88,20.03,3.74,44.3,502.9,118.4,7,21.64
2289.1,53.1,19.99,40.04,7.11,31.3,223.0,86.0,3,86.37
1854.3,47.4,14.92,27.37,7.23,70.5,590.0,89.3,8,57.22
2698.6,101.2,5.56,45.87,4.02,80.2,297.5,66.7,1,5.78
3482.9,96.0,23.99,47.21,8.91,22.8,300.1,88.0,7,156.24
4800.3,89.6,13.74,40.05,3.04,90.8,459.3,89.5,6,17.42
1789.0,33.9,17.82,41.68,8.14,51.7,172.1,17.3,3,116.93
4661.6,100.8,14.24,32.6,2.59,81.6,521.6,34.5,4,8.88
611.9,87.7,19.91,32.53,7.8,14.6,598.8,11.4,3,67.45
2998.4,39.5,8.46,49.8,5.36,42.5,498.8,66.1,7,34.03
3352.9,84.8,14.18,25.27,7.33,11.3,501.8,106.3,7,52.26
976.5,68.4,20.58,50.86,7.07,74.7,325.6,77.1,6,181.95
1131.5,63.9,33.92,46.2,13.71,17.2,179.7,65.0,2,242.93
2386.0,31.2,24.52,55.38,7.86,40.4,506.7,111.9,3,38.85
4848.0,71.8,27.06,30.41,12.46,80.4,418.7,28.9,9,182.67
3182.2,30.0,11.92,40.25,4.16,77.4,559.2,18.2,5,21.24
4698.6,36.4,15.66,21.56,5.93,67.6,202.2,110.9,5,79.17
4119.6,33.3,6.29,56.5,2.05,72.5,287.3,109.3,4,11.09
2603.2,115.4,16.7,47.02,6.89,68.6,312.3,85.1,10,169.59
4031.4,48.5,24.74,44.92,10.36,67.7,457.5,37.1,3,49.0
580.3,55.5,31.81,49.31,12.73,41.5,504.5,116.7,8,384.64
991.1,52.2,23.43,31.37,8.92,12.5,582.5,94.2,8,134.3
4232.4,109.8,25.67,44.15,9.96,49.8,282.9,84.1,3,76.56
4085.7,76.3,13.63,52.04,3.48,14.1,372.1,34.5,1,5.28
1546.9,111.9,1.89,23.61,1.52,52.2,163.0,66.4,3,8.19
2888.5,50.0,24.36,58.35,12.08,51.8,263.8,100.5,3,108.37
3227.1,31.5,12.73,55.68,3.34,26.1,318.3,104.6,8,48.44
4404.8,75.6,4.41,58.52,2.28,80.6,417.2,71.8,6,9.1
3214.0,54.6,33.35,52.33,14.13,73.4,361.9,67.5,5,184.89
2356.6,100.2,33.49,31.77,14.49,60.4,314.0,86.7,5,279.48
2183.8,107.9,22.24,43.26,9.63,93.3,430.8,68.1,10,233.22
2416.5,67.3,12.12,24.81,6.3,35.8,522.9,55.9,10,61.41
3433.7,117.1,29.42,50.17,12.67,33.6,258.8,19.4,1,41.06
4403.7,75.3,12.84,26.15,3.87,26.5,304.3,23.9,9,57.74
2542.5,47.1,18.11,54.67,7.01,59.0,467.2,93.6,4,42.5
1615.3,68.9,17.31,29.62,6.0,28.5,500.1,12.7,8,99.9
1565.0,23.7,32.2,26.42,13.78,88.2,521.4,15.8,10,366.78
3857.1,100.4,36.63,22.84,13.88,37.4,244.2,109.5,6,310.26
4174.6,30.1,23.73,48.45,10.11,54.2,392.7,87.4,7,124.84
973.8,50.9,1.54,27.45,2.55,57.7,555.0,10.5,5,9.41
799.5,76.5,20.78,27.91,7.75,37.7,326.4,44.3,1,37.15
3175.0,24.3,14.5,26.79,4.43,76.5,343.4,94.0,1,8.35
1157.8,27.9,31.12,32.23,13.39,72.3,593.2,55.9,4,108.48
4211.0,89.6,12.35,57.65,2.94,78.5,200.9,61.6,9,72.41
1896.5,27.2,3.5,39.46,1.76,64.5,467.5,60.5,4,5.69
1147.4,67.7,28.99,30.44,10.86,51.4,532.6,32.2,5,147.23
4644.4,53.9,24.13,26.82,7.35,50.4,217.9,89.4,6,131.51
1244.9,42.8,31.41,20.76,12.74,74.5,471.5,21.3,4,162.92
1781.2,38.9,6.02,34.6,2.04,43.9,361.4,65.8,5,15.6
1191.3,96.3,29.78,24.4,12.22,49.4,533.8,28.7,7,203.58
1019.7,115.2,10.39,21.08,1.52,24.7,558.4,15.1,9,23.0
595.2,34.0,6.41,24.12,1.39,71.2,542.6,25.8,8,18.46
749.3,116.0,25.59,32.74,7.46,16.9,179.0,105.6,9,587.17
1285.9,79.5,12.26,50.03,4.1,99.1,490.6,29.4,6,42.0
740.2,84.2,21.46,22.68,9.31,22.9,564.7,40.6,7,162.13
3160.1,91.0,3.38,47.15,1.36,44.5,429.6,25.2,2,3.0
3563.2,90.4,5.62,44.82,1.5,31.4,420.4,90.9,2,3.0
2271.3,102.0,21.59,55.28,11.18,36.2,170.3,59.0,10,502.52
1931.0,68.3,9.64,27.36,3.94,39.0,535.2,113.8,7,26.38
2770.4,73.3,24.08,51.77,10.19,74.7,170.9,83.1,2,92.84
4437.5,52.4,29.17,54.59,11.5,25.9,291.1,68.5,5,142.36
4330.1,30.5,12.04,59.06,1.83,33.7,566.6,82.2,10,12.85
695.6,86.5,29.25,52.34,11.78,19.1,577.4,14.4,1,43.21
1316.7,23.4,7.18,24.95,4.76,39.8,596.4,114.6,5,19.73
1565.4,47.6,14.1,57.89,6.45,94.7,364.4,115.2,9,142.16
1622.2,29.4,7.88,52.6,2.21,44.2,229.8,40.4,10,59.27
3070.5,39.1,31.58,28.49,12.74,80.0,369.6,79.1,4,126.53
2373.2,83.9,27.23,26.61,8.85,51.6,196.0,32.2,10,411.35
721.6,82.8,23.43,57.46,8.07,50.5,542.6,70.2,8,161.81
2181.3,62.1,38.28,26.23,14.56,84.2,402.2,94.8,5,208.99
2856.9,29.0,14.42,51.08,5.68,12.4,332.0,113.4,8,85.29
957.5,63.3,36.28,36.21,13.47,87.8,185.8,47.3,9,1084.44
4250.6,55.3,24.79,48.95,11.08,53.7,332.4,86.3,3,76.63
733.8,92.0,37.1,23.67,14.0,41.6,539.8,88.8,1,46.4
4661.8,77.9,32.68,49.0,13.71,91.6,466.5,34.3,8,191.41
946.0,69.2,31.87,40.48,14.87,40.6,187.1,79.2,1,124.01
4296.1,68.7,10.32,56.02,2.84,98.0,222.0,82.1,8,48.55
4561.9,116.6,34.12,27.54,12.14,94.3,326.5,94.0,4,116.16
4908.1,95.6,28.98,24.37,12.26,34.1,195.6,120.0,8,360.42
4109.1,69.7,29.74,27.85,10.02,40.7,570.3,14.4,7,109.62
4007.6,67.9,8.31,23.14,4.9,83.1,443.5,32.3,1,4.75
3391.2,22.6,31.79,59.21,14.51,27.6,192.7,26.0,1,64.91
4005.5,114.3,10.44,24.91,3.86,75.9,504.6,27.0,7,24.12
1105.5,51.9,19.27,28.03,7.99,21.6,315.8,60.0,6,190.0
2912.3,45.6,19.09,52.39,8.3,28.5,260.2,106.6,1,23.62
2814.0,119.9,9.91,29.87,3.27,55.0,406.5,59.4,10,43.67
4359.1,91.9,25.98,28.89,11.12,77.1,156.0,83.5,3,136.79
2582.6,24.7,6.08,46.89,2.24,76.5,359.4,51.4,9,25.72
2232.9,26.2,27.45,35.95,10.7,64.8,529.7,45.2,2,36.6
3378.0,22.6,29.62,53.42,12.88,34.5,567.6,101.8,3,45.35
1699.1,80.0,15.23,45.53,5.89,47.4,304.1,82.1,6,107.41
1129.0,27.2,25.21,31.53,10.93,32.2,439.1,48.6,6,199.15
2650.4,113.3,5.73,43.92,3.19,34.9,252.1,110.6,7,37.14
2376.0,113.7,33.83,54.66,12.84,39.1,402.1,64.8,2,63.14
1546.6,74.6,40.08,34.58,14.33,63.9,264.3,30.7,3,233.28
2153.8,81.7,12.41,49.46,3.14,28.7,407.1,63.2,3,14.9
2148.8,49.2,27.57,36.63,10.69,13.8,227.3,84.2,5,238.07
1973.7,26.4,18.66,41.72,8.08,72.3,573.6,50.4,10,105.49
2207.6,93.7,20.55,49.35,8.44,12.0,549.1,102.8,5,55.26
3585.8,30.2,30.22,22.42,10.89,97.4,301.6,68.6,10,306.67
1835.9,28.6,13.19,38.2,7.84,41.5,499.5,61.5,3,36.98
4769.9,51.1,22.54,23.81,9.4,10.6,193.0,104.5,3,84.45
4623.6,21.2,13.94,49.0,4.23,89.6,483.2,60.9,2,8.68
2664.1,63.4,13.07,44.31,6.3,64.0,277.1,55.6,3,44.95
1977.6,90.8,33.43,33.08,13.11,83.6,211.0,21.4,4,262.31
2909.5,100.1,8.97,23.05,2.54,49.2,455.2,49.9,4,11.3
4318.5,80.4,19.18,57.03,9.37,41.9,361.4,53.7,8,127.04
3436.6,104.7,10.49,32.6,3.58,69.0,388.6,29.9,5,22.99
4119.8,60.7,29.71,31.02,12.85,46.5,384.2,74.7,7,200.39
2897.3,104.9,24.19,24.04,9.11,60.1,176.8,25.8,1,33.16
3348.1,70.6,19.29,43.09,6.64,35.0,173.1,34.6,10,231.54
1796.7,42.3,13.54,30.63,4.5,39.9,420.5,71.7,2,16.84
3807.0,114.4,18.58,53.71,7.12,17.4,430.7,39.6,1,11.3
1410.8,47.5,36.0,47.31,14.41,80.3,171.2,80.4,5,560.18
3626.6,22.6,17.17,20.16,8.13,41.4,320.3,86.0,7,132.52
4373.2,44.3,19.33,42.63,7.57,97.7,425.8,43.1,3,33.63
1094.5,56.7,25.94,29.27,11.45,33.4,445.5,19.6,2,66.26
3264.7,55.1,19.6,20.61,6.31,52.8,522.7,63.8,9,63.13
927.9,72.5,20.11,44.77,6.98,37.5,339.3,20.2,9,259.98
3765.7,108.3,17.19,28.2,5.72,72.5,396.7,66.7,8,67.44
880.2,49.2,14.3,55.99,3.11,82.8,410.4,89.9,3,26.89
4711.7,72.1,26.29,42.94,10.99,53.8,290.4,78.2,6,159.06
1118.3,54.0,30.76,28.37,13.22,43.0,174.2,59.3,7,698.04
4815.0,102.2,32.4,59.17,13.68,77.0,151.9,114.0,5,286.78
4104.0,35.8,27.86,41.86,13.33,27.2,526.3,21.2,2,40.39
3171.6,30.4,14.28,26.62,7.32,64.0,240.1,106.8,9,156.98
4021.8,70.3,15.31,40.69,4.98,76.0,433.6,98.0,10,65.53
4078.0,87.2,20.66,58.37,9.93,34.2,409.7,56.2,2,33.22
4757.1,99.6,31.82,36.97,14.37,69.0,329.8,26.8,8,264.08
1640.2,79.0,27.41,37.01,11.18,76.2,525.1,27.1,9,207.16
3155.3,97.4,19.0,38.45,7.93,20.6,464.3,111.4,6,69.07
927.7,59.3,29.14,31.2,10.64,39.2,160.2,35.7,1,89.42
3272.7,23.3,29.36,26.47,11.82,46.6,499.5,106.2,7,116.99
1270.8,31.6,31.51,43.16,13.87,79.8,378.1,65.4,10,588.75
3042.3,23.9,31.79,55.77,11.69,61.1,306.2,60.8,3,106.8
3075.9,52.9,20.44,49.43,7.06,50.5,477.1,78.1,2,18.84
