Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Film_Thickness_nm
1134.0,21.5,24.84,30.14,5.64,12.6,201.0,80.0,206.56
4110.0,116.5,17.37,40.2,14.68,65.6,434.0,48.7,231.99
835.0,45.1,6.23,21.22,13.09,22.7,425.0,44.7,275.95
4941.0,87.6,12.7,25.27,5.52,95.1,551.0,77.3,65.88
3975.0,90.7,47.51,55.46,7.49,94.0,515.0,24.6,210.85
1394.0,81.0,15.95,50.07,6.81,30.3,569.0,37.8,173.68
525.0,51.3,9.27,36.91,3.09,65.3,534.0,14.6,99.83
4170.0,47.1,23.57,40.69,14.41,12.5,534.0,18.0,254.6
3681.0,79.8,16.05,34.8,6.66,93.9,132.0,36.8,110.27
3781.0,106.6,2.72,49.63,13.25,57.1,523.0,12.1,83.79
3971.0,114.7,16.83,51.37,3.65,13.9,404.0,37.0,60.83
833.0,30.6,27.66,50.53,8.67,40.8,290.0,82.0,405.15
2113.0,35.5,28.03,48.9,1.34,16.9,128.0,16.7,40.62
1021.0,114.5,18.47,28.18,11.7,45.4,439.0,58.0,382.29
4384.0,93.7,22.92,33.52,9.13,70.3,264.0,110.4,158.05
3305.0,108.3,48.31,38.79,9.76,52.3,334.0,97.0,283.25
1989.0,40.3,19.49,33.23,1.72,44.5,441.0,43.6,43.67
786.0,78.8,13.65,50.2,3.95,20.7,556.0,111.7,131.61
1899.0,90.1,12.93,33.17,2.04,32.0,513.0,46.3,41.01
1963.0,88.0,23.43,25.53,5.04,19.0,325.0,18.0,134.08
3783.0,60.8,38.22,35.96,9.78,82.7,294.0,119.3,251.02
3369.0,21.5,11.09,59.2,8.93,22.2,220.0,105.7,127.08
4492.0,78.3,35.76,29.04,9.57,63.6,286.0,61.3,212.11
2625.0,45.3,2.04,44.49,8.69,40.8,156.0,83.3,63.64
1038.0,65.0,21.53,37.32,4.82,30.3,586.0,83.8,162.34
3710.0,115.8,39.02,22.84,4.42,67.6,387.0,31.4,113.53
3924.0,59.9,17.6,39.52,2.92,51.1,164.0,32.0,50.42
3026.0,104.0,28.62,48.09,12.89,46.0,276.0,61.7,314.92
3969.0,38.9,11.04,40.53,9.63,63.4,374.0,110.3,120.59
2722.0,87.2,37.36,54.88,3.61,54.2,366.0,11.1,104.9
2852.0,117.7,3.56,31.56,3.48,37.3,118.0,96.1,31.01
2424.0,30.2,42.77,23.45,13.22,60.3,575.0,16.3,404.07
614.0,20.8,10.71,57.46,11.4,70.3,238.0,62.6,384.94
986.0,63.4,43.85,35.13,10.23,12.4,108.0,80.2,552.31
641.0,29.3,18.27,43.06,6.7,51.9,138.0,85.5,294.05
3364.0,94.8,36.41,51.68,4.67,15.2,390.0,16.4,117.15
1915.0,111.5,16.64,32.97,14.71,26.8,169.0,56.0,357.86
2789.0,63.4,45.39,48.65,12.16,60.4,121.0,74.2,415.94
4584.0,45.9,7.21,25.42,5.22,88.0,290.0,17.3,52.01
1622.0,63.4,9.75,31.65,12.87,89.5,411.0,24.9,237.75
2347.0,92.3,25.16,25.79,11.63,16.3,156.0,83.0,295.8
3900.0,20.9,5.01,52.45,5.16,47.7,257.0,67.4,46.7
1530.0,78.9,10.6,28.91,6.97,62.5,309.0,27.8,145.03
846.0,81.3,47.24,48.7,3.6,23.2,180.0,68.9,216.25
1804.0,83.8,48.85,57.73,2.55,78.9,353.0,110.4,105.67
1225.0,44.2,19.44,41.11,11.12,77.0,143.0,11.7,357.43
4684.0,91.4,46.24,41.6,4.75,91.3,123.0,80.7,120.23
4137.0,29.1,27.7,38.44,12.48,10.8,360.0,18.1,251.11
3350.0,39.9,14.22,33.04,14.94,29.5,224.0,10.7,242.67
4422.0,107.7,35.42,39.03,2.07,84.4,148.0,26.6,46.4
4117.0,93.9,33.29,44.11,7.62,70.4,312.0,56.5,181.17
1340.0,21.4,49.47,59.44,12.23,90.5,558.0,98.3,600.75
4517.0,44.8,13.99,57.51,12.05,15.1,462.0,41.0,170.37
2927.0,41.4,33.93,54.49,11.64,63.7,508.0,78.8,320.66
4133.0,47.1,3.55,55.57,5.89,61.2,536.0,55.2,43.59
4532.0,44.8,6.57,38.71,7.35,13.2,586.0,35.8,68.29
1931.0,26.3,1.19,46.3,9.33,56.2,482.0,66.6,54.33
995.0,65.9,49.97,55.8,14.64,64.9,404.0,97.7,807.32
1526.0,93.3,40.31,35.72,5.59,27.2,283.0,101.6,221.42
2422.0,80.7,39.55,58.47,13.92,34.6,191.0,103.1,436.77
4181.0,87.3,25.98,36.63,4.77,67.6,443.0,47.2,88.11
4373.0,28.1,15.7,44.04,14.85,52.1,597.0,97.3,216.98
531.0,115.1,8.41,48.39,10.38,87.2,334.0,33.3,331.94
2798.0,103.8,14.95,58.02,7.49,40.8,462.0,91.2,130.71
2378.0,100.5,19.42,29.78,9.59,34.0,348.0,114.3,205.5
1499.0,102.3,38.06,49.85,4.82,98.6,316.0,11.5,201.3
1039.0,113.3,27.44,40.83,4.84,92.0,305.0,58.4,190.78
2019.0,74.4,4.8,30.74,2.59,12.6,352.0,81.3,31.01
4743.0,40.0,1.88,51.06,2.6,79.4,283.0,87.2,12.9
1954.0,81.7,6.01,42.09,5.87,19.9,474.0,29.4,81.49
2835.0,94.3,21.11,46.44,11.68,12.5,537.0,116.9,237.14
3664.0,93.8,46.73,32.92,9.51,34.6,541.0,77.7,258.76
2136.0,72.1,32.23,39.25,2.44,34.2,214.0,28.1,76.03
4873.0,26.8,40.29,44.69,12.93,83.7,548.0,12.3,291.51
4831.0,57.1,23.85,36.2,9.42,74.0,271.0,96.2,163.9
1633.0,112.1,18.72,27.93,14.45,98.3,255.0,18.8,390.03
2738.0,78.4,6.31,58.47,10.38,74.0,463.0,25.5,133.36
1854.0,73.8,43.92,40.46,3.45,47.6,252.0,73.2,142.91
1782.0,46.9,39.37,49.36,7.63,72.9,126.0,76.4,283.81
666.0,56.8,9.24,36.44,10.08,100.0,287.0,85.6,273.08
3243.0,109.5,26.1,34.21,1.4,73.9,461.0,53.3,31.08
2762.0,86.6,24.88,36.29,1.21,78.6,263.0,95.1,28.53
732.0,98.7,31.63,36.37,2.81,94.5,415.0,117.2,146.14
1754.0,65.4,47.36,41.77,4.52,20.2,430.0,39.8,185.29
4587.0,83.0,29.41,41.74,7.01,73.4,467.0,87.3,137.11
1578.0,44.8,27.47,39.89,7.82,86.6,549.0,112.1,256.02
1152.0,90.5,3.47,25.39,2.93,95.9,316.0,85.5,40.71
2703.0,62.8,4.08,39.84,10.43,29.0,183.0,84.9,97.41
4935.0,64.3,10.18,26.76,9.35,55.4,259.0,34.6,102.79
1589.0,84.9,2.59,25.05,5.12,71.2,316.0,68.9,50.44
3525.0,113.6,37.42,57.31,1.19,32.3,457.0,71.9,30.59
3927.0,26.4,36.44,44.2,2.09,64.0,107.0,87.0,50.66
1569.0,102.5,7.67,46.38,6.48,33.2,258.0,119.7,114.12
3777.0,49.2,41.97,36.07,3.16,40.0,490.0,13.7,84.14
2155.0,64.4,8.58,56.36,6.28,49.7,435.0,17.2,104.84
3345.0,22.2,15.76,45.52,9.79,57.6,466.0,18.6,169.76
3351.0,50.1,13.2,50.77,8.66,50.4,506.0,91.7,129.56
2911.0,70.3,19.24,34.74,4.24,54.4,492.0,25.0,83.9
906.0,25.6,13.48,58.4,5.81,36.9,441.0,78.5,175.97
4259.0,69.1,24.96,52.82,9.6,24.3,320.0,45.7,188.27
1944.0,112.7,20.96,54.16,13.05,14.3,592.0,60.3,335.65
1339.0,30.5,49.34,26.89,11.54,27.6,385.0,33.7,576.58
683.0,96.4,3.74,30.84,8.75,62.4,201.0,105.3,157.68
3159.0,61.0,7.97,31.43,6.07,80.8,246.0,74.5,76.39
3549.0,85.5,3.59,30.84,6.11,25.2,447.0,113.9,50.0
575.0,46.0,31.67,54.22,13.31,19.8,562.0,73.2,751.77
2804.0,35.9,3.67,21.28,1.55,77.4,189.0,23.6,14.03
1519.0,36.0,41.99,23.04,14.83,37.5,141.0,28.8,600.56
3403.0,27.0,26.08,30.96,10.3,95.6,541.0,118.8,214.88
1285.0,38.6,26.82,27.99,10.54,74.3,558.0,89.8,353.93
3609.0,86.4,28.52,29.27,1.53,39.4,238.0,15.4,35.17
2240.0,108.2,9.37,51.92,9.48,36.1,289.0,87.4,154.39
4715.0,101.4,10.69,42.53,7.79,57.1,430.0,55.3,88.83
1119.0,88.5,16.62,20.23,2.48,17.1,265.0,43.8,76.28
2035.0,31.0,30.08,37.17,4.89,20.6,539.0,26.9,145.84
1011.0,48.9,11.3,36.32,13.46,25.8,154.0,102.4,365.73
4661.0,51.0,6.7,24.56,8.7,79.7,119.0,17.0,80.33
4448.0,45.0,48.54,47.05,6.79,56.2,204.0,41.9,182.25
1661.0,71.5,2.08,48.08,2.02,11.0,243.0,43.7,18.5
3470.0,73.6,40.33,48.84,11.0,70.6,156.0,27.7,300.44
4177.0,55.7,39.61,49.14,10.84,48.1,133.0,65.9,259.35
2998.0,55.4,15.56,20.0,9.6,56.0,478.0,11.3,167.28
2883.0,102.9,7.65,58.16,8.14,29.3,182.0,43.1,111.93
1588.0,98.9,8.14,52.57,7.07,59.7,557.0,112.7,126.93
919.0,50.8,35.17,56.16,9.31,98.1,284.0,44.2,456.87
4537.0,111.4,32.5,20.63,4.27,16.6,435.0,49.7,83.87
4552.0,115.3,39.35,57.35,14.18,35.6,213.0,62.0,332.38
3349.0,52.7,46.94,52.39,9.24,31.9,220.0,71.8,273.53
2026.0,55.4,34.9,53.49,5.36,32.4,387.0,99.0,176.69
2071.0,70.6,8.64,23.73,7.3,44.1,380.0,30.9,114.87
3767.0,114.1,12.93,49.55,12.28,83.6,484.0,105.9,171.65
4537.0,107.6,42.27,58.4,3.26,92.2,479.0,93.3,80.36
4492.0,30.3,11.26,47.14,5.1,28.2,435.0,89.5,62.99
4009.0,59.3,4.55,42.82,10.51,58.9,325.0,19.5,90.17
3389.0,75.3,35.46,57.83,5.42,67.3,545.0,12.4,131.03
879.0,70.3,20.72,37.72,12.1,57.0,411.0,75.3,421.74
1227.0,39.4,46.08,43.97,2.83,49.1,595.0,104.9,125.76
4543.0,105.9,32.86,39.05,11.68,27.3,510.0,74.3,237.52
3229.0,87.7,5.43,57.31,1.96,53.9,122.0,33.5,21.17
541.0,103.8,47.44,23.04,1.18,46.1,260.0,20.0,80.32
957.0,105.9,13.67,40.04,13.58,81.6,386.0,87.0,417.34
3486.0,94.8,17.52,47.48,9.14,78.7,461.0,89.4,159.64
523.0,63.9,20.71,51.68,5.93,22.1,375.0,29.0,308.77
1224.0,81.1,3.51,43.32,4.26,18.0,493.0,13.1,54.87
2969.0,36.0,25.33,56.36,9.64,91.7,241.0,54.9,230.22
3614.0,87.4,7.04,57.68,8.13,58.2,192.0,74.1,91.87
3434.0,37.9,20.65,22.57,14.88,87.2,127.0,87.7,293.12
1509.0,89.4,18.18,36.09,14.77,15.2,387.0,99.1,392.49
3705.0,43.0,38.87,20.94,9.89,57.4,444.0,77.2,246.54
1568.0,31.8,40.36,33.18,7.2,58.5,263.0,22.2,298.78
1964.0,36.5,8.52,41.47,7.88,87.5,407.0,85.1,124.76
3859.0,20.2,18.96,56.43,10.55,18.8,126.0,118.3,189.68
3423.0,91.9,19.29,53.86,2.42,31.6,150.0,109.6,43.53
4322.0,93.2,8.42,25.1,5.6,46.6,451.0,105.9,60.36
3459.0,71.5,40.12,23.72,2.05,87.9,284.0,43.2,57.71
3057.0,36.1,35.65,43.57,2.03,94.5,436.0,92.6,51.56
922.0,28.4,10.33,41.28,3.74,99.3,516.0,103.6,95.4
2155.0,21.9,18.97,30.66,7.79,96.3,526.0,84.6,179.94
1693.0,36.6,6.18,55.98,11.99,10.5,186.0,37.6,186.42
1598.0,109.1,31.78,57.09,7.8,14.3,343.0,114.9,275.3
4879.0,44.2,6.95,36.1,5.7,23.3,467.0,59.6,51.8
2269.0,55.4,49.31,55.61,2.15,41.4,487.0,24.3,78.26
4514.0,30.5,39.25,35.36,8.7,84.7,492.0,22.1,198.3
3340.0,42.2,20.12,49.47,4.8,90.3,214.0,81.2,94.14
4077.0,71.9,29.35,39.04,9.61,26.8,196.0,58.1,197.9
2762.0,80.8,45.66,24.9,14.68,65.8,395.0,20.4,461.64
3096.0,44.5,28.15,57.12,2.56,92.6,471.0,91.4,63.09
2716.0,25.8,9.55,38.16,3.97,51.7,260.0,97.9,57.58
1379.0,59.1,19.56,49.38,7.62,19.3,152.0,89.8,221.75
3751.0,43.4,42.31,34.69,14.56,51.2,458.0,32.2,377.39
1763.0,42.0,32.57,20.76,11.81,43.8,250.0,85.9,383.73
609.0,116.0,32.89,24.02,13.58,62.0,183.0,11.2,758.97
3405.0,81.6,43.47,39.85,5.67,49.5,174.0,43.6,162.95
1297.0,75.7,44.8,47.6,14.89,11.6,257.0,53.9,683.39
4732.0,61.6,46.07,33.39,2.44,99.5,396.0,101.9,57.36
4793.0,62.9,5.65,47.82,1.74,58.9,279.0,52.9,15.13
4617.0,74.1,27.66,47.95,12.98,52.6,110.0,11.2,247.75
2166.0,89.6,37.28,48.16,13.98,95.9,148.0,48.8,444.4
570.0,90.2,38.09,39.7,2.27,24.0,245.0,64.9,149.7
4677.0,37.2,30.73,56.6,2.59,27.0,430.0,114.4,48.76
2427.0,70.0,9.17,39.57,1.46,82.7,149.0,113.5,21.86
4850.0,61.2,40.07,38.01,2.46,33.5,380.0,29.9,52.54
4836.0,107.1,36.29,27.98,3.93,81.9,160.0,30.4,84.35
4339.0,83.1,5.22,32.31,14.58,34.4,206.0,28.0,128.75
1825.0,73.3,23.73,21.69,10.35,13.0,186.0,96.8,290.96
2233.0,31.5,9.52,45.34,11.9,56.5,134.0,10.7,214.31
4330.0,80.6,17.54,29.94,11.87,27.7,436.0,24.0,191.07
1926.0,31.7,1.89,32.17,8.49,78.2,332.0,69.2,63.51
1263.0,53.7,20.62,50.83,12.16,67.7,516.0,37.2,370.46
3006.0,34.3,27.94,33.09,9.34,93.1,149.0,20.2,246.75
4713.0,89.2,31.36,29.69,5.4,80.5,172.0,49.6,113.91
3632.0,40.6,33.51,26.76,8.86,26.3,253.0,40.2,214.79
3065.0,59.2,41.98,50.99,8.47,82.0,483.0,66.2,244.93
937.0,109.6,11.56,25.19,12.53,67.8,253.0,117.7,341.93
3268.0,40.4,6.9,38.15,14.74,70.2,304.0,23.7,162.16
4955.0,70.8,42.73,40.28,6.75,84.9,251.0,51.0,158.1
1130.0,61.9,8.67,47.5,11.69,61.6,140.0,112.5,258.87
2832.0,21.8,48.76,45.33,2.4,51.9,570.0,106.5,73.69
4448.0,99.3,42.28,52.43,11.88,67.3,374.0,53.4,285.3
3833.0,26.9,25.54,21.79,6.2,36.8,494.0,86.9,126.13
3637.0,67.4,49.09,31.86,1.55,26.4,429.0,19.7,44.15
3661.0,76.1,5.77,31.21,6.09,65.5,357.0,88.4,62.63
2118.0,82.8,15.85,25.84,9.55,31.0,145.0,117.0,193.19
1821.0,88.9,32.27,31.57,2.67,17.2,421.0,69.1,85.16
4142.0,45.3,18.15,32.39,13.94,10.0,178.0,64.8,220.07
4146.0,21.0,46.49,40.88,2.09,64.7,307.0,30.6,53.39
4402.0,92.3,4.22,46.55,14.02,42.6,415.0,79.7,104.34
4610.0,73.6,27.92,35.24,10.9,77.7,491.0,74.9,207.42
2801.0,103.6,29.95,48.78,5.62,43.8,443.0,81.7,144.19
2757.0,102.1,32.98,33.45,6.47,53.7,436.0,12.9,170.86
4092.0,104.3,13.53,31.61,11.37,46.6,175.0,70.4,152.38
3425.0,68.5,18.86,41.65,9.42,68.6,273.0,75.4,182.08
3659.0,53.4,42.34,20.95,10.4,42.1,121.0,32.8,277.88
4081.0,99.2,10.55,23.19,6.45,96.7,460.0,32.9,76.8
4505.0,65.1,41.52,36.72,7.83,94.3,576.0,40.4,183.5
2021.0,38.3,28.57,57.72,14.86,86.3,232.0,88.3,450.8
2190.0,105.5,38.35,48.86,3.99,92.8,144.0,76.7,133.19
923.0,108.3,35.97,23.53,6.85,50.4,338.0,103.0,328.66
3102.0,66.6,11.17,53.85,5.09,58.3,528.0,42.5,72.84
662.0,27.6,28.87,49.29,11.71,76.8,376.0,110.3,617.19
2595.0,58.8,43.52,44.44,11.7,72.7,123.0,91.8,371.87
2942.0,100.4,22.17,52.81,5.09,90.2,587.0,53.5,106.36
1789.0,110.2,48.36,36.16,2.14,74.5,514.0,20.5,87.73
3159.0,40.3,23.16,28.86,1.16,99.8,166.0,38.3,25.83
637.0,26.7,8.0,40.48,6.98,41.4,561.0,115.2,196.32
668.0,107.7,20.08,41.95,6.74,85.0,325.0,44.1,301.26
4202.0,58.9,47.63,41.53,14.84,72.8,286.0,46.3,391.94
2121.0,74.2,16.67,42.6,7.58,72.2,331.0,30.9,160.43
1072.0,116.8,43.54,57.95,4.59,39.3,517.0,98.8,236.76
2850.0,26.7,44.18,56.09,13.48,80.7,430.0,40.3,437.7
3965.0,84.8,18.16,55.03,7.87,91.0,130.0,46.3,134.67
1471.0,27.4,5.08,52.06,9.39,29.7,579.0,55.6,138.82
3303.0,57.5,36.5,57.74,2.34,66.3,174.0,57.7,62.52
884.0,100.4,16.26,23.94,6.36,45.3,473.0,55.2,217.34
733.0,63.3,39.36,30.6,14.22,99.1,418.0,65.4,790.22
2891.0,119.7,22.69,39.8,9.25,53.1,194.0,99.6,216.87
2933.0,75.9,24.78,53.86,5.82,30.5,185.0,100.1,138.77
3368.0,52.1,39.12,40.21,9.76,44.4,535.0,97.8,267.18
3767.0,42.0,19.74,49.92,13.75,68.8,310.0,21.1,248.44
4891.0,55.1,22.71,25.56,4.84,16.8,427.0,98.0,80.19
2823.0,57.3,19.43,30.1,8.07,64.3,352.0,23.2,160.77
1953.0,26.9,19.0,49.27,14.42,93.8,464.0,23.7,363.0
4078.0,57.0,26.77,26.59,3.41,86.5,340.0,114.3,68.75
1719.0,66.4,40.63,34.05,11.08,16.1,244.0,100.1,450.92
2475.0,92.3,18.73,30.59,9.6,99.4,282.0,70.8,209.07
853.0,85.7,26.69,33.99,10.52,72.9,530.0,106.2,454.79
614.0,90.9,33.87,48.33,5.92,24.6,334.0,118.8,338.51
4832.0,20.8,14.2,34.71,5.39,11.1,207.0,77.2,74.1
4262.0,41.8,14.6,42.21,10.58,25.4,567.0,77.4,147.97
3632.0,86.2,46.74,24.0,4.02,85.4,498.0,93.0,109.07
2340.0,68.4,36.45,52.2,6.88,11.9,128.0,35.5,222.38
1280.0,20.5,29.28,34.8,3.63,31.0,599.0,28.4,131.48
1204.0,100.4,32.74,45.94,1.12,78.2,447.0,93.6,45.16
1626.0,97.3,2.44,49.02,14.58,62.7,180.0,47.9,142.29
2972.0,74.8,31.29,28.39,7.04,80.4,219.0,24.9,178.78
3716.0,26.6,25.97,55.39,14.57,77.2,446.0,44.6,314.0
3471.0,96.7,27.74,44.65,2.96,14.6,490.0,49.5,65.48
1760.0,78.4,18.61,37.15,9.22,90.3,220.0,116.2,237.27
4797.0,98.2,4.99,27.29,3.81,30.4,228.0,86.8,29.0
3821.0,95.2,10.47,57.69,12.06,59.8,254.0,68.4,162.5
2995.0,100.3,47.59,50.2,11.97,68.0,399.0,116.6,377.09
3253.0,71.8,21.03,28.32,2.58,25.2,186.0,109.3,50.49
2388.0,34.0,23.87,33.51,13.77,97.9,152.0,66.3,367.13
1615.0,87.1,3.58,52.39,3.72,53.9,439.0,109.6,40.16
2102.0,82.0,2.84,47.83,9.58,15.2,490.0,54.5,88.79
3910.0,94.2,36.14,50.63,14.8,94.4,350.0,35.3,365.61
565.0,37.0,27.37,37.65,13.35,62.8,282.0,35.6,747.56
1022.0,39.5,25.93,48.66,14.39,72.9,316.0,82.9,574.93
707.0,109.0,12.91,35.46,5.8,57.3,294.0,65.1,197.38
683.0,95.0,37.49,28.45,2.48,85.1,580.0,82.5,141.73
4350.0,110.8,9.24,45.31,3.64,13.0,484.0,85.5,40.05
3666.0,95.9,10.31,59.04,8.01,34.2,204.0,12.5,110.81
2634.0,79.7,23.57,32.42,12.11,52.3,292.0,15.9,284.45
940.0,85.4,15.03,38.44,3.1,16.9,372.0,68.6,93.46
2712.0,108.9,13.13,46.96,10.24,73.5,406.0,31.0,181.47
2631.0,77.9,32.62,41.66,5.53,45.4,334.0,79.6,149.87
1279.0,83.2,32.9,53.74,5.78,34.5,505.0,70.7,217.99
2452.0,35.6,41.4,50.47,10.27,10.3,484.0,74.4,322.86
2293.0,67.4,21.47,22.33,7.54,74.8,353.0,43.3,173.95
3271.0,91.6,4.58,59.94,12.37,85.0,527.0,80.4,117.73
3358.0,47.1,14.41,50.1,3.18,45.6,476.0,101.2,51.26
704.0,40.2,49.02,54.56,12.06,60.8,489.0,119.8,810.13
2186.0,51.4,30.22,46.05,1.9,30.5,578.0,102.2,52.75
3316.0,44.2,35.78,54.25,3.72,66.0,233.0,71.3,100.49
2764.0,41.5,1.36,24.5,10.19,11.1,234.0,31.3,60.95
4354.0,62.5,26.39,33.91,12.97,54.0,544.0,85.0,244.93
3464.0,110.8,2.84,55.06,4.54,68.0,486.0,113.1,32.64
1233.0,70.7,28.89,28.07,5.58,92.6,563.0,33.3,210.0
818.0,38.8,46.12,23.13,8.52,44.3,132.0,38.2,485.19
3391.0,27.7,48.45,51.52,3.96,78.9,414.0,26.4,120.78
619.0,89.6,27.49,53.42,12.36,63.8,172.0,91.0,667.33
3136.0,58.3,23.45,26.51,11.83,93.4,352.0,54.7,248.49
4731.0,102.2,47.31,54.17,3.03,45.9,178.0,16.9,76.19
3090.0,86.0,34.01,47.47,7.49,38.7,164.0,106.2,202.25
2247.0,99.6,4.18,40.8,11.85,89.8,106.0,71.3,125.88
3395.0,47.2,23.82,53.21,5.72,14.4,415.0,46.4,127.47
2562.0,89.2,12.77,36.77,9.86,22.3,280.0,47.8,174.32
2955.0,46.4,24.02,27.76,1.7,17.4,153.0,41.9,37.1
4737.0,113.9,23.32,31.39,9.52,85.9,261.0,60.1,163.13
2237.0,83.6,29.53,40.21,3.14,11.0,184.0,47.1,90.34
4825.0,52.5,18.48,41.25,12.63,87.5,571.0,70.3,202.65
4574.0,47.0,9.05,52.22,5.98,50.6,260.0,95.1,65.01
1381.0,39.1,25.68,51.65,4.94,10.4,267.0,84.2,168.87
812.0,89.5,41.68,43.25,12.77,46.1,520.0,42.4,697.59
954.0,41.9,33.54,51.23,1.7,26.8,424.0,68.2,80.37
582.0,79.5,17.58,27.67,6.55,66.2,455.0,102.4,269.0
925.0,46.5,46.84,22.0,6.18,71.1,418.0,17.5,327.64
3574.0,86.2,45.7,54.95,4.99,53.9,573.0,18.6,138.84
